 Variables , 1986 1Q , 1986 2Q , 1986 3Q , 1986 4Q , 1987 1Q , 1987 2Q , 1987 3Q , 1987 4Q , 1988 1Q , 1988 2Q , 1988 3Q , 1988 4Q , 1989 1Q , 1989 2Q , 1989 3Q , 1989 4Q , 1990 1Q , 1990 2Q , 1990 3Q , 1990 4Q , 1991 1Q , 1991 2Q , 1991 3Q , 1991 4Q , 1992 1Q , 1992 2Q , 1992 3Q , 1992 4Q , 1993 1Q , 1993 2Q , 1993 3Q , 1993 4Q , 1994 1Q , 1994 2Q , 1994 3Q , 1994 4Q , 1995 1Q , 1995 2Q , 1995 3Q , 1995 4Q , 1996 1Q , 1996 2Q , 1996 3Q , 1996 4Q , 1997 1Q , 1997 2Q , 1997 3Q , 1997 4Q , 1998 1Q , 1998 2Q , 1998 3Q , 1998 4Q , 1999 1Q , 1999 2Q , 1999 3Q , 1999 4Q , 2000 1Q , 2000 2Q , 2000 3Q , 2000 4Q , 2001 1Q , 2001 2Q , 2001 3Q , 2001 4Q , 2002 1Q , 2002 2Q , 2002 3Q , 2002 4Q , 2003 1Q , 2003 2Q , 2003 3Q , 2003 4Q , 2004 1Q , 2004 2Q , 2004 3Q , 2004 4Q , 2005 1Q , 2005 2Q , 2005 3Q , 2005 4Q , 2006 1Q , 2006 2Q , 2006 3Q , 2006 4Q , 2007 1Q , 2007 2Q , 2007 3Q , 2007 4Q , 2008 1Q , 2008 2Q , 2008 3Q , 2008 4Q , 2009 1Q , 2009 2Q , 2009 3Q , 2009 4Q , 2010 1Q , 2010 2Q , 2010 3Q , 2010 4Q , 2011 1Q , 2011 2Q , 2011 3Q , 2011 4Q , 2012 1Q , 2012 2Q , 2012 3Q , 2012 4Q , 2013 1Q , 2013 2Q , 2013 3Q , 2013 4Q , 2014 1Q , 2014 2Q , 2014 3Q , 2014 4Q , 2015 1Q , 2015 2Q , 2015 3Q , 2015 4Q , 2016 1Q , 2016 2Q , 2016 3Q , 2016 4Q 
 D Overall Balance (A-B+C) ,33.9,508,206.6,460.1,201.7,529.8,671.8,925.2,"1,057.60",486,92.5,"1,707.50",884.8,"1,500.40","1,727.40","1,221.60","2,112.80","2,401","3,694.80","1,683.90",497.3,"2,276.70","2,497.70","1,991.10","1,774.20","3,685.50","2,354.20","2,145.10","2,258.50","2,888.90","3,262.10","3,744.20","1,750.70","1,159.40","3,217.50","1,174.10","1,984.90","5,719.50","2,258.40","2,211.10","1,787.50","2,823.40","2,719.80","3,075.90","6,085.60","1,679","2,903.10","1,188",339.9,"1,209.50",865.7,"2,565.50",-414.9,"4,799.40",-6,"2,942.70","-2,170.80","5,859.50","4,393.90","3,760.90","1,054.20","-4,384.80","-2,230.40","3,957.70","1,568.40",221.6,932.7,-436.5,856.8,"2,913.90","5,076.30","2,927.50","10,655",304.3,818.9,"8,690.70","4,778.10","9,980.80","1,290.40","4,347.40","8,387.80","5,115.50","4,005.80","9,486.60","1,515.30","9,136","6,031.40","12,614.90","11,965","4,290.60","-2,141.20","4,416.70","-3,577.50","1,031.10","7,020.80","11,981.80","21,045.10","13,686.60","6,271.90","16,476.90","6,235.30","5,465.50","10,087.40",-300.5,"6,371.70","4,842.50","7,849.30","13,542.40","8,718","5,385.60",949.6,"7,677.70",447.6,"4,654.50","3,405.20",110.5,"-1,310.90","2,686.50",479.4,-354.3,"-8,720.30","4,757.30","5,434.40","-3,926.70"
     A Current Account Balance ,-545.4,792.7,351.1,134.5,-659.2,261.5,110,70.7,628.9,909.3,953.5,"1,426.30",582.5,646.1,"2,108.60","2,471.20",-9.9,"1,128.40","2,300.20","2,277",37.2,"2,104.90","2,595.60","3,681.90","3,567.90","2,596.50","3,455.50",-84.4,"1,293.70",784.7,"2,487.70","2,070.30",863,"4,202.90","6,172.70","5,966.50","6,176","4,804.50","5,427.40","4,066.50","3,827.70","4,358.20","7,116.70","4,311.50","4,655.80","7,044.40","5,577.10","5,417.60","4,802.60","7,820.90","9,382.80","8,916.30","4,828.90","6,878.30","5,931.70","7,205.10","4,536.80","4,748.70","6,070.80","2,500.20","4,465.60","6,428.70","5,105.40","6,170.10","5,060.80","4,248.80","6,112.50","6,784.60","9,860.30","8,561","10,782.80","9,380.40","6,969.90","7,877.50","10,522.50","9,733.50","8,612.30","10,885.90","14,039.10","13,240","14,306.50","14,167","14,133.70","16,405.80","20,317.80","17,648.70","20,440.30","12,277.20","11,092.10","11,241.90","11,005.30","6,038.10","12,810.30","11,937.60","10,369.40","12,035.10","15,644.70","16,738.70","21,248.10","21,935.50","19,753.20","18,143.50","21,667.40","17,215.60","16,050.70","15,635.60","17,410.30","13,702.40","13,363.30","17,662.90","17,208.20","15,792.50","14,821.20","16,530.90","23,731.80","21,976.70","19,624.30","14,865.30","19,801.50","19,615.20","15,907.10","21,256.40","22,765.50","18,129.90"
         Goods Balance ,"-1,044.30",-7.6,-442.9,-554.2,"-1,041.10",-315,-403.7,-650.1,-117.6,-127,-207.2,432.2,-759.4,-522.4,96.8,494.8,"-1,145.30","-1,232.30",-160.2,-499.5,-978.4,-64.2,176.1,597.6,-389.9,-985.5,108.5,"-1,780.90","-1,462.70","-1,532.90",-234.5,"-1,260.40","-2,136.80",570.9,"1,521.90","2,011.50","4,057.20","3,242.30","4,126.40","3,462.40","2,804.80","3,687.10","5,622.30","3,957.10","2,837.90","5,211.50","4,072.10","4,376.90","3,850.70","6,662.20","7,995.60","8,137.80","5,322.50","7,145.30","6,177.80","8,627.30","6,222.90","6,653.80","8,435.70","6,654.30","8,624.80","9,439.20","8,871.70","10,332","8,674.70","8,566.10","10,664.70","12,089","14,961","14,303","16,945.10","17,413.20","15,035.80","15,894.70","18,506.60","18,646.70","16,087.80","18,698.20","21,657.30","22,973.60","19,755.60","19,227.30","19,855.40","22,596.20","23,169.50","21,266.20","25,271.50","17,204.70","16,838.30","15,983","15,852.10","9,990.70","13,618.10","17,099","18,523.50","19,613.70","16,753.60","20,653.50","23,104.50","23,983.50","23,669.10","21,313.70","24,191.30","23,105.60","21,466.70","22,102.20","24,412.10","21,034.30","20,655","24,787.20","23,774.90","24,660.60","20,949.60","25,284.80","29,017.60","28,281.50","30,422.80","26,539.80","27,074.10","29,864.80","25,514.70","30,332.10","30,433.20","28,093"
             Exports Of Goods ,"11,497.60","12,398.50","12,404.70","13,132.40","12,591.40","14,832.40","16,324.90","17,454.90","17,658.80","20,093.20","21,265.10","22,819","19,587.40","22,074.40","23,037.80","24,346.40","23,327.10","23,242.20","24,546.60","27,912.60","26,273.40","26,591.60","27,043.50","25,968.40","25,075.20","25,927.10","27,809.70","29,539.80","28,535","31,424.90","33,041.50","32,711.70","30,340.50","38,013.50","40,251.50","40,859.10","42,707.50","45,986.70","49,528.60","50,725.90","48,872.70","49,318","50,713.60","52,183.40","48,166.60","52,941.90","55,502.40","56,970.20","50,888.40","49,856","51,898.90","49,633.20","46,908.30","53,303.20","56,370.40","61,702","58,293.10","64,162.70","72,028.80","73,305","64,874.10","62,756.70","59,781.80","61,000.90","58,217.20","64,602.20","66,000.90","67,189","68,810.60","69,642.80","74,609.10","79,289.60","78,591.10","85,770.80","92,416.40","92,547.80","88,860.80","96,289.40","105,034.70","112,310.60","106,376.60","110,772.10","115,923.90","113,208.40","111,282.70","115,185.10","121,901.40","122,328.40","124,909.50","131,390.10","136,758.80","108,867.80","92,167.60","99,961.20","111,224.70","115,424.20","116,445.90","126,912.10","132,264.70","130,800.70","134,899","137,192","141,124","141,473.10","142,112.30","141,416.50","135,401.80","134,473.10","130,451.70","143,436.70","145,273.30","141,018.40","137,392","143,383.10","141,828.20","138,277.40","130,180.50","131,012.70","130,539.10","130,106.70","115,957.60","125,434.10","125,184.10","132,964"
             Imports Of Goods ,"12,541.90","12,406.10","12,847.60","13,686.60","13,632.50","15,147.40","16,728.60","18,105","17,776.40","20,220.20","21,472.30","22,386.80","20,346.80","22,596.80","22,941","23,851.60","24,472.40","24,474.50","24,706.80","28,412.10","27,251.80","26,655.80","26,867.40","25,370.80","25,465.10","26,912.60","27,701.20","31,320.70","29,997.70","32,957.80","33,276","33,972.10","32,477.30","37,442.60","38,729.60","38,847.60","38,650.30","42,744.40","45,402.20","47,263.50","46,067.90","45,630.90","45,091.30","48,226.30","45,328.70","47,730.40","51,430.30","52,593.30","47,037.70","43,193.80","43,903.30","41,495.40","41,585.80","46,157.90","50,192.60","53,074.70","52,070.20","57,508.90","63,593.10","66,650.70","56,249.30","53,317.50","50,910.10","50,668.90","49,542.50","56,036.10","55,336.20","55,100","53,849.60","55,339.80","57,664","61,876.40","63,555.30","69,876.10","73,909.80","73,901.10","72,773","77,591.20","83,377.40","89,337","86,621","91,544.80","96,068.50","90,612.20","88,113.20","93,918.90","96,629.90","105,123.70","108,071.20","115,407.10","120,906.70","98,877.10","78,549.50","82,862.20","92,701.20","95,810.50","99,692.30","106,258.60","109,160.20","106,817.20","111,229.90","115,878.30","116,932.70","118,367.50","120,645.60","119,314.30","110,989.70","113,438.80","109,796.70","118,649.50","121,498.40","116,357.80","116,442.40","118,098.30","112,810.60","109,995.90","99,757.70","104,472.90","103,465","100,241.90","90,442.90","95,102","94,750.90","104,871"
         Services Balance ,526.2,880,872.6,847.9,698.9,978.4,918.2,"1,166.40","1,046","1,341.70","1,402.10","1,338.50","1,545.60","1,606.60","2,082.20","2,211.20","2,015.70","2,492.20","2,687.40","2,928.50","2,160.10","2,659.70","2,651.60","3,168.60","3,245.30","3,169.30","3,507.60","3,434.60","3,162.40","3,351.50","3,785.90","3,870.30","3,327.20","3,971.70","4,796.90","4,137.10","1,694.50","1,383.60","1,840.40",996.1,"1,636.90","1,311.50","1,771.50","1,245","1,569.40","1,387.70","1,356.10",633.8,792.4,823.5,"1,341.20",956.6,-541.7,-325.8,-193.8,"-1,599.90","-1,242.60","-1,896.60","-1,780.90","-2,738.70","-2,999.80","-3,088.80","-2,443.40","-2,804.50","-2,189.90","-3,040.70","-2,538.80","-3,168.20","-3,605.20","-4,451.30","-3,871.40","-5,202.90","-4,060.60","-4,536.30","-4,158.50","-4,452.10","-3,735.30","-4,386.80","-3,566.50","-4,517.60","-2,689.70","-3,111.90","-2,997.50","-2,605.20","-1,281.20","-1,006.10",-453.9,-675.8,-204.8,"-1,024.90",17.9,-920.7,632.8,-992.1,"-1,970.40","-1,026.30",-620.7,"-1,184.70",521.8,764.8,334.2,-361.4,"1,323.40",-39.3,-346.8,"-1,547.20","-1,352","-1,157.60","-1,945.50","-2,986.40","-1,751.60","-2,545.30","-1,344.50","-3,606.90","-1,270.50","-1,401.40","-1,612.50","-2,883.20","-1,567.80","-2,056.70","-2,094.50","-2,342.80","-1,359.50","-2,407.60"
             Exports Of Services ,"2,428.30","2,925.70","2,963.10","3,069.80","2,905.10","3,426.10","3,404","3,763.90","3,774.70","4,250","4,376.80","4,459.40","4,659","5,024","5,412.80","5,781.70","5,921.30","6,370.10","6,591.20","6,996","6,143.30","6,563.10","6,668.80","7,128.80","6,636.60","6,914.20","7,522.60","7,912.80","7,390.10","7,985.30","8,483","8,721.70","8,157.80","9,313.40","10,188.90","9,934.90","8,815.40","8,974.70","9,584.80","9,433.80","9,328.90","9,421.20","9,641.90","9,854.20","9,348.90","9,813","10,083.60","9,864.30","9,209.10","9,485.20","10,018.80","9,409.10","9,020.40","10,671.80","10,738.40","10,420.20","10,658.40","11,039","11,579.20","11,494.70","11,509.60","11,615.60","11,608","11,972.60","12,160.10","12,257.70","12,766.20","12,970.50","13,458","11,911.10","14,306","14,710.10","16,078.10","16,757.80","17,265.10","18,269.40","17,911","18,762","19,885.30","20,715.20","22,335.80","22,931.50","23,672.60","25,149.30","25,824","27,355.40","28,740.60","29,928.40","32,318.10","31,347.80","32,449.30","30,762.30","28,748.80","28,689.50","29,700.20","31,881.60","32,398.50","34,233.40","34,778.60","36,074.20","36,692.20","36,783.30","38,491.80","38,042","39,492.70","39,611.70","39,177","40,882.50","41,790.20","43,153.50","44,314.70","45,532.30","48,178.80","47,251.50","48,665.60","50,275","50,684.60","50,486.20","51,373.50","51,752.70","50,192.70","51,480.80","51,696.90","53,367.10"
                 Maintenance And Repair Services , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na ,388.2,358.9,512.7,377.5,411.6,430.6,499.2,436,470.2,461.5,538.1,528.4,642.6,553.3,640.3,690.6,387.1,412.4,507.7,381.5,393.9,443.8,383.5,466.2,455.7,501.1,519.8,526.1,702.7,681,872.4,732.9,646,715.4,692.6,734.8,688.4,849.1,835.9,997.7,"1,076.20","1,132.90","1,274.80","1,236","1,213","1,420.40","1,496.10","1,571.50","1,448.90","1,887.10","1,705.30","1,564.30","2,322.20","1,542.70","2,265.80","2,223.90","2,429.90","2,284.10","2,215.90","2,198.20","2,287.40","2,359.10","2,007.60","1,994.30","2,160.10","2,069","2,632.40","2,482.40","2,375.80","2,382.90","2,118.10","2,176.30","2,323.30","2,486.90","3,088.10","2,870.80","3,008","2,193.30","2,465.80","2,189.10","2,163.50","2,302.90","2,369.40","2,429.40","2,117.10","2,622","2,367.20","2,600"
                 Transport ,508.2,534.6,539.6,553.6,537.2,616.5,666.8,696.8,702.1,778.5,836.2,885.4,802.8,881.8,923.7,975.7,944.6,960.6,"1,009.10","1,119.10","1,069.60","1,072.90","1,111.40","1,095","1,050.10","1,078.60","1,160","1,216.80","1,164","1,275.30","1,341.70","1,346.70","1,317","1,545.20","1,639","1,673.20","2,814.90","2,861.10","3,075.30","3,059.90","3,019.70","3,008.20","3,117.40","3,170.90","3,014.70","3,107","3,305.90","3,225.40","3,424.80","3,744.60","4,144.50","3,673.50","3,819","4,861.60","4,572.50","4,675.30","4,824.50","4,959.60","5,299.10","5,286.80","5,145.30","4,960.10","5,099.10","5,294.80","5,192","5,228.10","5,423.10","5,501","5,828.40","4,901.70","6,123.80","6,554.60","6,882.20","6,880.20","7,390.10","7,733.70","7,736.70","7,914.20","8,385.10","8,707.60","8,967.90","8,642.10","9,122.30","9,395.10","10,446.60","10,462.10","11,202.80","11,748.20","12,991.90","12,842.30","13,208.70","12,333.10","10,718.30","10,278","10,831.60","11,723.80","12,543.20","12,829.80","13,441.40","13,960.70","13,217.40","13,274.10","13,477.20","13,632.80","13,739.10","13,904.90","14,007.20","14,200.20","13,934.80","14,241.40","14,665.80","14,807.70","16,273.90","16,389.10","16,751.10","16,741.80","16,762.30","16,300.50","16,342.10","16,069.50","16,663.70","16,682.60","16,404.90","17,050.70"
                 Travel ,932.9,933.6,"1,015.10","1,057.40","1,072","1,096","1,212.50","1,216.80","1,273.10","1,278.10","1,395.40","1,430.90","1,543.90","1,514.10","1,729.40","1,763.50","2,076.20","1,999.10","2,188.50","2,164","1,758.20","1,887.70","2,164.40","2,163.50","2,268.60","2,212.50","2,434.50","2,417.80","2,485.80","2,483.30","2,688.50","2,676.90","2,528","2,453.10","2,747.10","2,629.70","2,703.90","2,643.70","2,763.60","2,675.30","2,622.50","2,502.10","2,670.40","2,641.60","2,409.70","2,472.40","2,289.10","2,183.30","1,901.20","1,911.10","1,966.20","1,923","1,864.40","2,233.70","2,432.10","2,095.10","2,140.20","2,204.50","2,378.40","2,141.60","2,105.20","2,098.80","2,082.50","2,025.90","2,019.20","1,918.20","1,929.10","2,114","1,821.10","1,145.30","1,780.60","1,959.40","2,018.20","2,150.10","2,282.60","2,545.80","2,292.40","2,500.10","2,645.80","2,896.20","2,701.20","2,970.20","3,025.90","3,276.10","2,971.90","3,372.30","3,562","3,757.30","3,660","3,616.30","3,714.90","4,026.90","3,294.40","3,249.80","3,180","3,693.50","3,823.40","4,763.30","5,390.10","5,354.40","5,415.60","5,415","6,028.60","5,692.60","6,123.60","5,599.10","5,678.20","6,087.50","5,901.40","5,895","6,389.90","5,850.30","6,392.30","5,844.90","6,121.90","5,884.30","5,623.50","5,374.70","6,196.10","5,577.10","5,820.10","6,236.60","7,077.50","6,267"
